<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKMP,D,20130117,000000,89.9900000
RTKMP,D,20130118,000000,90.8500000
RTKMP,D,20130121,000000,90.7100000
RTKMP,D,20130122,000000,90.8100000
RTKMP,D,20130123,000000,90.4300000
RTKMP,D,20130124,000000,90.0500000
RTKMP,D,20130125,000000,90.0000000
RTKMP,D,20130128,000000,90.1500000
RTKMP,D,20130129,000000,89.9000000
RTKMP,D,20130130,000000,89.2400000
RTKMP,D,20130131,000000,88.5900000
RTKMP,D,20130201,000000,88.9000000
RTKMP,D,20130204,000000,88.0500000
RTKMP,D,20130205,000000,87.2500000
RTKMP,D,20130206,000000,87.9700000
RTKMP,D,20130207,000000,88.0000000
RTKMP,D,20130208,000000,88.4900000
RTKMP,D,20130211,000000,89.7600000
RTKMP,D,20130212,000000,90.3000000
RTKMP,D,20130213,000000,91.0900000
RTKMP,D,20130214,000000,90.4700000
RTKMP,D,20130215,000000,90.5500000
RTKMP,D,20130218,000000,90.7400000
RTKMP,D,20130219,000000,91.7000000
RTKMP,D,20130220,000000,92.2500000
RTKMP,D,20130221,000000,91.0200000
RTKMP,D,20130222,000000,90.3100000
RTKMP,D,20130225,000000,90.1400000
RTKMP,D,20130226,000000,89.2000000
RTKMP,D,20130227,000000,88.7800000
RTKMP,D,20130228,000000,91.4900000
RTKMP,D,20130301,000000,91.0100000
RTKMP,D,20130304,000000,94.2900000
RTKMP,D,20130305,000000,94.3700000
RTKMP,D,20130306,000000,94.7900000
RTKMP,D,20130307,000000,94.8700000
RTKMP,D,20130311,000000,94.3900000
RTKMP,D,20130312,000000,92.9100000
RTKMP,D,20130313,000000,93.4300000
RTKMP,D,20130314,000000,93.5000000
RTKMP,D,20130315,000000,93.2500000
RTKMP,D,20130318,000000,91.1100000
RTKMP,D,20130319,000000,91.1500000
RTKMP,D,20130320,000000,94.4000000
RTKMP,D,20130321,000000,90.8700000
RTKMP,D,20130322,000000,90.3600000
RTKMP,D,20130325,000000,90.6000000
RTKMP,D,20130326,000000,89.3300000
RTKMP,D,20130327,000000,89.5300000
RTKMP,D,20130328,000000,89.2400000
RTKMP,D,20130329,000000,87.8900000
RTKMP,D,20130401,000000,87.8000000
RTKMP,D,20130402,000000,87.7500000
RTKMP,D,20130403,000000,86.4800000
RTKMP,D,20130404,000000,85.1100000
RTKMP,D,20130405,000000,82.9000000
RTKMP,D,20130408,000000,82.6000000
RTKMP,D,20130409,000000,81.9800000
RTKMP,D,20130410,000000,81.9900000
RTKMP,D,20130411,000000,81.5700000
RTKMP,D,20130412,000000,80.8000000
RTKMP,D,20130415,000000,78.2200000
RTKMP,D,20130416,000000,77.3100000
RTKMP,D,20130417,000000,74.5000000
RTKMP,D,20130418,000000,74.0000000
RTKMP,D,20130419,000000,75.9800000
RTKMP,D,20130422,000000,80.5300000
RTKMP,D,20130423,000000,79.0100000
RTKMP,D,20130424,000000,79.0000000
RTKMP,D,20130425,000000,80.0200000
RTKMP,D,20130426,000000,82.4800000
RTKMP,D,20130429,000000,82.3000000
RTKMP,D,20130430,000000,82.5800000
RTKMP,D,20130502,000000,80.0000000
RTKMP,D,20130503,000000,81.7000000
RTKMP,D,20130506,000000,80.0000000
RTKMP,D,20130507,000000,81.6800000
RTKMP,D,20130508,000000,80.7400000
RTKMP,D,20130510,000000,80.4400000
RTKMP,D,20130513,000000,81.0000000
RTKMP,D,20130514,000000,81.1900000
RTKMP,D,20130515,000000,81.0900000
RTKMP,D,20130516,000000,79.3300000
RTKMP,D,20130517,000000,79.7300000
RTKMP,D,20130520,000000,79.1100000
RTKMP,D,20130521,000000,79.7100000
RTKMP,D,20130522,000000,80.8900000
RTKMP,D,20130523,000000,77.0400000
RTKMP,D,20130524,000000,75.4000000
RTKMP,D,20130527,000000,75.9800000
RTKMP,D,20130528,000000,77.0900000
RTKMP,D,20130529,000000,74.8200000
RTKMP,D,20130530,000000,73.3000000
RTKMP,D,20130531,000000,72.6200000
RTKMP,D,20130603,000000,73.3300000
RTKMP,D,20130604,000000,73.2000000
RTKMP,D,20130605,000000,72.0000000
RTKMP,D,20130606,000000,70.0000000
RTKMP,D,20130607,000000,70.7900000
RTKMP,D,20130610,000000,72.2900000
RTKMP,D,20130611,000000,70.0100000
RTKMP,D,20130613,000000,68.8900000
RTKMP,D,20130614,000000,69.0000000
RTKMP,D,20130617,000000,71.1900000
RTKMP,D,20130618,000000,73.3000000
RTKMP,D,20130619,000000,71.5300000
RTKMP,D,20130620,000000,70.0100000
RTKMP,D,20130621,000000,69.6800000
RTKMP,D,20130624,000000,69.7100000
RTKMP,D,20130625,000000,71.8600000
RTKMP,D,20130626,000000,70.8000000
RTKMP,D,20130627,000000,69.8200000
RTKMP,D,20130628,000000,71.0000000
RTKMP,D,20130701,000000,73.3400000
RTKMP,D,20130702,000000,75.4700000
RTKMP,D,20130703,000000,75.0300000
RTKMP,D,20130704,000000,75.8800000
RTKMP,D,20130705,000000,75.0000000
RTKMP,D,20130708,000000,73.2400000
RTKMP,D,20130709,000000,75.7500000
RTKMP,D,20130710,000000,74.3900000
RTKMP,D,20130711,000000,75.2200000
RTKMP,D,20130712,000000,77.3000000
RTKMP,D,20130715,000000,76.7000000
RTKMP,D,20130716,000000,78.0000000
RTKMP,D,20130717,000000,79.6400000
RTKMP,D,20130718,000000,78.1800000
RTKMP,D,20130719,000000,77.4400000
RTKMP,D,20130722,000000,77.3600000
RTKMP,D,20130723,000000,78.3700000
RTKMP,D,20130724,000000,78.6000000
RTKMP,D,20130725,000000,79.0800000
RTKMP,D,20130726,000000,78.9300000
RTKMP,D,20130729,000000,80.9600000
RTKMP,D,20130730,000000,79.7300000
RTKMP,D,20130731,000000,77.9900000
RTKMP,D,20130801,000000,77.4900000
RTKMP,D,20130802,000000,77.9600000
RTKMP,D,20130805,000000,78.2000000
RTKMP,D,20130806,000000,78.8900000
RTKMP,D,20130807,000000,78.8600000
RTKMP,D,20130808,000000,77.6900000
RTKMP,D,20130809,000000,77.7900000
RTKMP,D,20130812,000000,77.1300000
RTKMP,D,20130813,000000,76.9600000
RTKMP,D,20130814,000000,77.9500000
RTKMP,D,20130815,000000,77.6000000
RTKMP,D,20130816,000000,77.8400000
RTKMP,D,20130819,000000,76.4600000
RTKMP,D,20130820,000000,76.4800000
RTKMP,D,20130821,000000,76.0000000
RTKMP,D,20130822,000000,77.4000000
RTKMP,D,20130823,000000,77.2200000
RTKMP,D,20130826,000000,76.7900000
RTKMP,D,20130827,000000,75.4900000
RTKMP,D,20130828,000000,74.2000000
RTKMP,D,20130829,000000,73.6400000
RTKMP,D,20130830,000000,72.2100000
RTKMP,D,20130902,000000,71.9700000
RTKMP,D,20130903,000000,72.5100000
RTKMP,D,20130904,000000,73.2500000
RTKMP,D,20130905,000000,72.8500000
RTKMP,D,20130906,000000,72.9900000
RTKMP,D,20130909,000000,73.0400000
RTKMP,D,20130910,000000,73.3900000
RTKMP,D,20130911,000000,73.4000000
RTKMP,D,20130912,000000,72.4900000
RTKMP,D,20130913,000000,72.0300000
RTKMP,D,20130916,000000,71.9700000
RTKMP,D,20130917,000000,72.0500000
RTKMP,D,20130918,000000,71.6700000
RTKMP,D,20130919,000000,71.9500000
RTKMP,D,20130920,000000,71.4700000
RTKMP,D,20130923,000000,70.4900000
RTKMP,D,20130924,000000,70.3500000
RTKMP,D,20130925,000000,71.1600000
RTKMP,D,20130926,000000,71.5000000
RTKMP,D,20130927,000000,71.3100000
RTKMP,D,20130930,000000,70.9800000
RTKMP,D,20131001,000000,71.1000000
RTKMP,D,20131002,000000,70.6600000
RTKMP,D,20131003,000000,70.5800000
RTKMP,D,20131004,000000,71.0000000
RTKMP,D,20131007,000000,71.1000000
RTKMP,D,20131008,000000,71.8400000
RTKMP,D,20131009,000000,71.8500000
RTKMP,D,20131010,000000,72.3300000
RTKMP,D,20131011,000000,72.1400000
RTKMP,D,20131014,000000,72.0000000
RTKMP,D,20131015,000000,71.9900000
RTKMP,D,20131016,000000,72.0800000
RTKMP,D,20131017,000000,71.9100000
RTKMP,D,20131018,000000,71.9000000
RTKMP,D,20131021,000000,72.0600000
RTKMP,D,20131022,000000,71.9400000
RTKMP,D,20131023,000000,71.9400000
RTKMP,D,20131024,000000,72.1500000
RTKMP,D,20131025,000000,73.0400000
RTKMP,D,20131028,000000,72.5100000
RTKMP,D,20131029,000000,72.4200000
RTKMP,D,20131030,000000,72.6000000
RTKMP,D,20131031,000000,73.1600000
RTKMP,D,20131101,000000,75.6000000
RTKMP,D,20131105,000000,76.9900000
RTKMP,D,20131106,000000,77.7000000
RTKMP,D,20131107,000000,77.2900000
RTKMP,D,20131108,000000,76.4900000
RTKMP,D,20131111,000000,75.4000000
RTKMP,D,20131112,000000,77.0100000
RTKMP,D,20131113,000000,78.9900000
RTKMP,D,20131114,000000,78.9000000
RTKMP,D,20131115,000000,78.5000000
RTKMP,D,20131118,000000,78.2900000
RTKMP,D,20131119,000000,77.5800000
RTKMP,D,20131120,000000,76.9400000
RTKMP,D,20131121,000000,74.3100000
RTKMP,D,20131122,000000,74.4800000
RTKMP,D,20131125,000000,72.8900000
RTKMP,D,20131126,000000,72.4500000
RTKMP,D,20131127,000000,71.9100000
RTKMP,D,20131128,000000,71.9000000
RTKMP,D,20131129,000000,71.2500000
RTKMP,D,20131202,000000,70.9300000
RTKMP,D,20131203,000000,71.0000000
RTKMP,D,20131204,000000,71.0000000
RTKMP,D,20131205,000000,72.5300000
RTKMP,D,20131206,000000,73.5000000
RTKMP,D,20131209,000000,72.8900000
RTKMP,D,20131210,000000,73.8200000
RTKMP,D,20131211,000000,74.4300000
RTKMP,D,20131212,000000,73.5000000
RTKMP,D,20131213,000000,73.6900000
RTKMP,D,20131216,000000,74.3000000
RTKMP,D,20131217,000000,73.8600000
RTKMP,D,20131218,000000,73.8500000
RTKMP,D,20131219,000000,74.1000000
RTKMP,D,20131220,000000,73.2000000
RTKMP,D,20131223,000000,72.7900000
RTKMP,D,20131224,000000,72.5600000
RTKMP,D,20131225,000000,72.9100000
RTKMP,D,20131226,000000,73.0000000
RTKMP,D,20131227,000000,73.4600000
RTKMP,D,20131230,000000,74.8300000
RTKMP,D,20140106,000000,73.1400000
RTKMP,D,20140108,000000,75.0100000
RTKMP,D,20140109,000000,73.4400000
RTKMP,D,20140110,000000,73.2200000
RTKMP,D,20140113,000000,73.3500000
RTKMP,D,20140114,000000,73.8300000
RTKMP,D,20140115,000000,74.5900000
RTKMP,D,20140116,000000,73.7000000
RTKMP,D,20140117,000000,74.4700000
RTKMP,D,20140120,000000,74.8100000
RTKMP,D,20140121,000000,76.1000000
RTKMP,D,20140122,000000,76.0000000
RTKMP,D,20140123,000000,74.1500000
RTKMP,D,20140124,000000,74.3700000
RTKMP,D,20140127,000000,74.1500000
RTKMP,D,20140128,000000,74.1600000
RTKMP,D,20140129,000000,73.6500000
RTKMP,D,20140130,000000,72.5200000
RTKMP,D,20140131,000000,71.9000000
RTKMP,D,20140203,000000,71.5800000
RTKMP,D,20140204,000000,72.8100000
RTKMP,D,20140205,000000,73.9700000
RTKMP,D,20140206,000000,73.9000000
RTKMP,D,20140207,000000,74.1400000
RTKMP,D,20140210,000000,73.9600000
RTKMP,D,20140211,000000,74.2300000
RTKMP,D,20140212,000000,73.7900000
RTKMP,D,20140213,000000,73.4000000
RTKMP,D,20140214,000000,72.9600000
RTKMP,D,20140217,000000,74.2000000
RTKMP,D,20140218,000000,73.3300000
RTKMP,D,20140219,000000,72.6800000
RTKMP,D,20140220,000000,72.9200000
RTKMP,D,20140221,000000,72.9100000
RTKMP,D,20140224,000000,72.5500000
RTKMP,D,20140225,000000,71.5000000
RTKMP,D,20140226,000000,71.6300000
RTKMP,D,20140227,000000,70.1000000
RTKMP,D,20140228,000000,69.7000000
RTKMP,D,20140303,000000,61.9500000
RTKMP,D,20140304,000000,65.5000000
RTKMP,D,20140305,000000,62.6500000
RTKMP,D,20140306,000000,61.4500000
RTKMP,D,20140307,000000,62.0100000
RTKMP,D,20140311,000000,60.3000000
RTKMP,D,20140312,000000,56.7900000
RTKMP,D,20140313,000000,54.0900000
RTKMP,D,20140314,000000,51.1800000
RTKMP,D,20140317,000000,53.3100000
RTKMP,D,20140318,000000,55.5000000
RTKMP,D,20140319,000000,54.1700000
RTKMP,D,20140402,000000,58.0000000
RTKMP,D,20140403,000000,56.8500000
RTKMP,D,20140404,000000,56.9000000
RTKMP,D,20140407,000000,53.7500000
RTKMP,D,20140408,000000,51.6100000
RTKMP,D,20140409,000000,53.0000000
RTKMP,D,20140410,000000,54.5600000
RTKMP,D,20140411,000000,54.1900000
RTKMP,D,20140414,000000,52.2200000
RTKMP,D,20140415,000000,51.1500000
RTKMP,D,20140416,000000,51.9700000
RTKMP,D,20140417,000000,52.0000000
RTKMP,D,20140418,000000,52.6400000
RTKMP,D,20140421,000000,51.5100000
RTKMP,D,20140422,000000,50.0000000
RTKMP,D,20140423,000000,50.0000000
RTKMP,D,20140424,000000,49.9800000
RTKMP,D,20140425,000000,49.8000000
RTKMP,D,20140428,000000,50.5600000
RTKMP,D,20140429,000000,49.8500000
RTKMP,D,20140430,000000,49.7000000
RTKMP,D,20140502,000000,49.2500000
RTKMP,D,20140505,000000,48.6900000
RTKMP,D,20140506,000000,50.0400000
RTKMP,D,20140507,000000,50.9500000
RTKMP,D,20140508,000000,50.9700000
RTKMP,D,20140512,000000,50.5000000
RTKMP,D,20140513,000000,52.1000000
RTKMP,D,20140514,000000,51.6900000
RTKMP,D,20140515,000000,51.3500000
RTKMP,D,20140516,000000,51.2000000
RTKMP,D,20140519,000000,51.8000000
RTKMP,D,20140520,000000,54.2600000
RTKMP,D,20140521,000000,54.9900000
RTKMP,D,20140522,000000,54.9000000
RTKMP,D,20140523,000000,55.2700000
RTKMP,D,20140526,000000,56.2300000
RTKMP,D,20140527,000000,54.9800000
RTKMP,D,20140528,000000,54.5900000
RTKMP,D,20140529,000000,54.9100000
RTKMP,D,20140530,000000,54.6000000
RTKMP,D,20140602,000000,55.7000000
RTKMP,D,20140603,000000,56.1700000
RTKMP,D,20140604,000000,56.6400000
RTKMP,D,20140605,000000,56.9100000
RTKMP,D,20140606,000000,57.4000000
RTKMP,D,20140609,000000,57.7100000
RTKMP,D,20140610,000000,58.2000000
RTKMP,D,20140611,000000,58.8500000
RTKMP,D,20140616,000000,58.6500000
RTKMP,D,20140617,000000,59.0000000
RTKMP,D,20140618,000000,59.6900000
RTKMP,D,20140619,000000,59.8900000
RTKMP,D,20140620,000000,59.1000000
