<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20140912,000000,233.2000000
ROSN,D,20140915,000000,232.1900000
ROSN,D,20140916,000000,240.5000000
ROSN,D,20140917,000000,237.3400000
ROSN,D,20140918,000000,238.7600000
ROSN,D,20140919,000000,233.5000000
ROSN,D,20140922,000000,230.0000000
ROSN,D,20140923,000000,232.7900000
ROSN,D,20140924,000000,232.3600000
ROSN,D,20140925,000000,231.2000000
ROSN,D,20140926,000000,232.3900000
ROSN,D,20140929,000000,229.0000000
ROSN,D,20140930,000000,232.0000000
ROSN,D,20141001,000000,230.0000000
ROSN,D,20141002,000000,226.3700000
ROSN,D,20141003,000000,227.7300000
ROSN,D,20141006,000000,232.0700000
ROSN,D,20141007,000000,231.3000000
ROSN,D,20141008,000000,227.5000000
ROSN,D,20141009,000000,228.4700000
ROSN,D,20141010,000000,222.3000000
ROSN,D,20141013,000000,225.5300000
ROSN,D,20141014,000000,230.3000000
ROSN,D,20141015,000000,226.6100000
ROSN,D,20141016,000000,224.1500000
ROSN,D,20141017,000000,228.6900000
ROSN,D,20141020,000000,227.2000000
ROSN,D,20141021,000000,228.2400000
ROSN,D,20141022,000000,225.4000000
ROSN,D,20141023,000000,224.2000000
ROSN,D,20141024,000000,225.8800000
ROSN,D,20141027,000000,227.9000000
ROSN,D,20141028,000000,229.6000000
ROSN,D,20141029,000000,233.4500000
ROSN,D,20141030,000000,235.9600000
ROSN,D,20141031,000000,239.9000000
ROSN,D,20141103,000000,240.3000000
ROSN,D,20141105,000000,239.8800000
ROSN,D,20141106,000000,239.2100000
ROSN,D,20141107,000000,239.0200000
ROSN,D,20141110,000000,239.8600000
ROSN,D,20141111,000000,239.3400000
ROSN,D,20141112,000000,237.2300000
ROSN,D,20141113,000000,231.5000000
ROSN,D,20141114,000000,233.7900000
ROSN,D,20141117,000000,233.9700000
ROSN,D,20141118,000000,235.7000000
ROSN,D,20141119,000000,235.0000000
ROSN,D,20141120,000000,235.8000000
ROSN,D,20141121,000000,240.4000000
ROSN,D,20141124,000000,237.6200000
ROSN,D,20141125,000000,237.0100000
ROSN,D,20141126,000000,238.0000000
ROSN,D,20141127,000000,233.6600000
ROSN,D,20141128,000000,233.7400000
ROSN,D,20141201,000000,233.5000000
ROSN,D,20141202,000000,232.7500000
ROSN,D,20141203,000000,230.4500000
ROSN,D,20141204,000000,228.3000000
ROSN,D,20141205,000000,221.9500000
ROSN,D,20141208,000000,212.2000000
ROSN,D,20141209,000000,213.3500000
ROSN,D,20141210,000000,213.5000000
ROSN,D,20141211,000000,208.0000000
ROSN,D,20141212,000000,210.7500000
ROSN,D,20141215,000000,201.5000000
ROSN,D,20141216,000000,200.6500000
ROSN,D,20141217,000000,194.6500000
ROSN,D,20141218,000000,196.9000000
ROSN,D,20141219,000000,194.1500000
ROSN,D,20141222,000000,198.9000000
ROSN,D,20141223,000000,196.6500000
ROSN,D,20141224,000000,193.2000000
ROSN,D,20141225,000000,195.0000000
ROSN,D,20141226,000000,196.7500000
ROSN,D,20141229,000000,201.8000000
ROSN,D,20141230,000000,195.8000000
ROSN,D,20150105,000000,196.7500000
ROSN,D,20150106,000000,200.3000000
ROSN,D,20150108,000000,214.9500000
ROSN,D,20150109,000000,206.6000000
ROSN,D,20150112,000000,204.0000000
ROSN,D,20150113,000000,204.9000000
ROSN,D,20150114,000000,209.5000000
ROSN,D,20150115,000000,219.9000000
ROSN,D,20150116,000000,226.0000000
ROSN,D,20150119,000000,225.3000000
ROSN,D,20150120,000000,227.0000000
ROSN,D,20150121,000000,234.6000000
ROSN,D,20150122,000000,241.8000000
ROSN,D,20150123,000000,243.9000000
ROSN,D,20150126,000000,237.2500000
ROSN,D,20150127,000000,239.0000000
ROSN,D,20150128,000000,231.5000000
ROSN,D,20150129,000000,226.5500000
ROSN,D,20150130,000000,229.3500000
