"pricingdate","priceclose"
2012-06-21 00:00:00,10.450000
2012-06-22 00:00:00,10.180000
2012-06-25 00:00:00,9.970000
2012-06-26 00:00:00,10.200000
2012-06-27 00:00:00,10.300000
2012-06-28 00:00:00,10.040000
2012-06-29 00:00:00,10.750000
2012-07-02 00:00:00,10.780000
2012-07-03 00:00:00,11.380000
2012-07-04 00:00:00,11.370000
2012-07-05 00:00:00,11.220000
2012-07-06 00:00:00,10.940000
2012-07-09 00:00:00,10.910000
2012-07-10 00:00:00,11.100000
2012-07-11 00:00:00,11.070000
2012-07-12 00:00:00,10.890000
2012-07-13 00:00:00,11.190000
2012-07-16 00:00:00,11.230000
2012-07-17 00:00:00,11.260000
2012-07-18 00:00:00,11.390000
2012-07-19 00:00:00,11.580000
2012-07-20 00:00:00,11.310000
2012-07-23 00:00:00,10.550000
2012-07-24 00:00:00,10.420000
2012-07-25 00:00:00,10.590000
2012-07-26 00:00:00,11.000000
2012-07-27 00:00:00,11.300000
2012-07-30 00:00:00,11.400000
2012-07-31 00:00:00,11.130000
2012-08-01 00:00:00,11.150000
2012-08-02 00:00:00,10.980000
2012-08-03 00:00:00,11.460000
2012-08-06 00:00:00,11.790000
2012-08-07 00:00:00,11.920000
2012-08-08 00:00:00,11.940000
2012-08-09 00:00:00,11.910000
2012-08-10 00:00:00,11.670000
2012-08-13 00:00:00,11.750000
2012-08-14 00:00:00,11.770000
2012-08-15 00:00:00,11.660000
2012-08-16 00:00:00,11.700000
2012-08-17 00:00:00,11.540000
2012-08-20 00:00:00,11.480000
2012-08-21 00:00:00,11.820000
2012-08-22 00:00:00,11.650000
2012-08-23 00:00:00,11.770000
2012-08-24 00:00:00,11.720000
2012-08-28 00:00:00,11.850000
2012-08-29 00:00:00,11.790000
2012-08-30 00:00:00,11.500000
2012-08-31 00:00:00,11.510000
2012-09-03 00:00:00,11.680000
2012-09-04 00:00:00,11.570000
2012-09-05 00:00:00,11.520000
2012-09-06 00:00:00,11.750000
2012-09-07 00:00:00,11.870000
2012-09-10 00:00:00,11.980000
2012-09-11 00:00:00,11.940000
2012-09-12 00:00:00,11.930000
2012-09-13 00:00:00,11.890000
2012-09-14 00:00:00,12.720000
2012-09-17 00:00:00,12.580000
2012-09-18 00:00:00,12.340000
2012-09-19 00:00:00,12.120000
2012-09-20 00:00:00,12.040000
2012-09-21 00:00:00,12.200000
2012-09-24 00:00:00,12.150000
2012-09-25 00:00:00,12.180000
2012-09-26 00:00:00,11.670000
2012-09-27 00:00:00,11.600000
2012-09-28 00:00:00,11.730000
2012-10-01 00:00:00,11.950000
