<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,D,20081212,000000,115.2600000
GAZP,D,20081215,000000,116.8000000
GAZP,D,20081216,000000,115.5000000
GAZP,D,20081217,000000,113.1500000
GAZP,D,20081218,000000,105.7000000
GAZP,D,20081219,000000,105.1000000
GAZP,D,20081222,000000,109.9000000
GAZP,D,20081223,000000,115.0300000
GAZP,D,20081224,000000,111.1000000
GAZP,D,20081225,000000,106.3000000
GAZP,D,20081226,000000,102.6000000
GAZP,D,20081229,000000,103.4400000
GAZP,D,20081230,000000,108.6000000
GAZP,D,20081231,000000,107.6300000
GAZP,D,20090111,000000,111.5800000
GAZP,D,20090112,000000,113.8500000
GAZP,D,20090113,000000,114.1400000
GAZP,D,20090114,000000,108.3000000
GAZP,D,20090115,000000,107.1700000
GAZP,D,20090116,000000,107.9000000
GAZP,D,20090119,000000,106.0500000
GAZP,D,20090120,000000,105.5500000
GAZP,D,20090121,000000,107.9900000
GAZP,D,20090122,000000,103.7900000
GAZP,D,20090123,000000,101.4900000
GAZP,D,20090126,000000,111.4100000
GAZP,D,20090127,000000,109.5600000
GAZP,D,20090128,000000,114.1100000
GAZP,D,20090129,000000,113.8500000
GAZP,D,20090130,000000,114.7000000
GAZP,D,20090202,000000,116.7000000
GAZP,D,20090203,000000,117.0000000
GAZP,D,20090204,000000,118.3800000
GAZP,D,20090205,000000,113.6900000
GAZP,D,20090206,000000,117.0000000
GAZP,D,20090209,000000,126.0000000
GAZP,D,20090210,000000,127.7000000
GAZP,D,20090211,000000,124.4000000
GAZP,D,20090212,000000,119.9100000
GAZP,D,20090213,000000,126.5100000
GAZP,D,20090216,000000,123.9900000
GAZP,D,20090217,000000,113.9000000
GAZP,D,20090218,000000,110.9800000
GAZP,D,20090219,000000,113.4000000
GAZP,D,20090220,000000,111.6500000
GAZP,D,20090224,000000,112.0000000
GAZP,D,20090225,000000,112.7500000
GAZP,D,20090226,000000,119.3000000
GAZP,D,20090227,000000,116.5000000
GAZP,D,20090302,000000,111.8300000
GAZP,D,20090303,000000,111.3000000
GAZP,D,20090304,000000,114.5500000
GAZP,D,20090305,000000,112.0700000
GAZP,D,20090306,000000,112.7000000
GAZP,D,20090310,000000,124.3000000
GAZP,D,20090311,000000,125.8300000
GAZP,D,20090312,000000,122.5000000
GAZP,D,20090313,000000,127.3000000
GAZP,D,20090316,000000,128.6800000
GAZP,D,20090317,000000,125.9100000
GAZP,D,20090318,000000,120.5000000
GAZP,D,20090319,000000,124.3000000
GAZP,D,20090320,000000,125.9900000
GAZP,D,20090323,000000,137.0800000
GAZP,D,20090324,000000,133.3000000
GAZP,D,20090325,000000,137.9000000
GAZP,D,20090326,000000,136.7000000
GAZP,D,20090327,000000,133.2700000
GAZP,D,20090330,000000,124.2100000
GAZP,D,20090331,000000,126.4000000
GAZP,D,20090401,000000,131.3500000
GAZP,D,20090402,000000,140.5900000
GAZP,D,20090403,000000,137.8500000
GAZP,D,20090406,000000,136.0000000
GAZP,D,20090407,000000,135.4000000
GAZP,D,20090408,000000,139.9700000
GAZP,D,20090409,000000,147.9000000
GAZP,D,20090410,000000,147.7800000
GAZP,D,20090413,000000,142.7400000
GAZP,D,20090414,000000,144.9900000
GAZP,D,20090415,000000,141.9500000
GAZP,D,20090416,000000,142.9900000
GAZP,D,20090417,000000,143.5100000
GAZP,D,20090420,000000,134.0000000
GAZP,D,20090421,000000,134.4700000
GAZP,D,20090422,000000,140.3000000
GAZP,D,20090423,000000,149.0000000
GAZP,D,20090424,000000,150.0000000
GAZP,D,20090427,000000,145.5000000
GAZP,D,20090428,000000,143.0000000
GAZP,D,20090429,000000,149.0000000
GAZP,D,20090430,000000,147.8200000
GAZP,D,20090504,000000,155.0000000
GAZP,D,20090505,000000,161.3000000
GAZP,D,20090506,000000,169.9100000
GAZP,D,20090507,000000,171.6100000
GAZP,D,20090508,000000,173.3000000
GAZP,D,20090512,000000,179.0500000
GAZP,D,20090513,000000,167.1900000
GAZP,D,20090514,000000,165.5000000
GAZP,D,20090515,000000,166.2400000
GAZP,D,20090518,000000,170.3100000
GAZP,D,20090519,000000,176.0200000
GAZP,D,20090520,000000,183.2400000
GAZP,D,20090521,000000,170.1500000
GAZP,D,20090522,000000,174.1700000
GAZP,D,20090525,000000,170.6700000
GAZP,D,20090526,000000,170.1500000
GAZP,D,20090527,000000,171.2000000
GAZP,D,20090528,000000,172.5600000
GAZP,D,20090529,000000,178.1000000
GAZP,D,20090601,000000,191.5000000
GAZP,D,20090602,000000,190.5000000
GAZP,D,20090603,000000,175.1000000
GAZP,D,20090604,000000,176.5600000
GAZP,D,20090605,000000,182.0000000
GAZP,D,20090608,000000,177.1500000
GAZP,D,20090609,000000,177.1500000
GAZP,D,20090610,000000,181.0400000
GAZP,D,20090611,000000,183.4700000
GAZP,D,20090615,000000,173.8000000
GAZP,D,20090616,000000,176.4700000
GAZP,D,20090617,000000,162.3000000
GAZP,D,20090618,000000,158.7500000
GAZP,D,20090619,000000,162.5200000
GAZP,D,20090622,000000,150.6000000
GAZP,D,20090623,000000,143.3700000
GAZP,D,20090624,000000,154.7700000
GAZP,D,20090625,000000,148.2500000
GAZP,D,20090626,000000,150.7000000
GAZP,D,20090629,000000,157.9000000
GAZP,D,20090630,000000,155.7900000
GAZP,D,20090701,000000,165.9800000
GAZP,D,20090702,000000,157.7000000
GAZP,D,20090703,000000,154.6900000
GAZP,D,20090706,000000,144.5100000
GAZP,D,20090707,000000,144.9400000
GAZP,D,20090708,000000,139.0300000
GAZP,D,20090709,000000,137.6000000
GAZP,D,20090710,000000,134.1800000
GAZP,D,20090713,000000,134.3000000
GAZP,D,20090714,000000,134.9500000
GAZP,D,20090715,000000,144.2900000
GAZP,D,20090716,000000,146.0800000
GAZP,D,20090717,000000,152.8500000
GAZP,D,20090720,000000,157.0000000
GAZP,D,20090721,000000,160.0700000
GAZP,D,20090722,000000,157.5000000
GAZP,D,20090723,000000,166.7900000
GAZP,D,20090724,000000,162.3800000
GAZP,D,20090727,000000,162.8000000
GAZP,D,20090728,000000,154.4000000
GAZP,D,20090729,000000,152.0200000
GAZP,D,20090730,000000,162.7600000
GAZP,D,20090731,000000,162.5200000
GAZP,D,20090803,000000,169.5700000
GAZP,D,20090804,000000,169.9500000
GAZP,D,20090805,000000,167.3900000
GAZP,D,20090806,000000,169.3600000
GAZP,D,20090807,000000,173.8000000
GAZP,D,20090810,000000,169.6400000
GAZP,D,20090811,000000,164.0200000
GAZP,D,20090812,000000,164.7000000
GAZP,D,20090813,000000,165.9800000
GAZP,D,20090814,000000,160.6600000
GAZP,D,20090817,000000,153.3500000
GAZP,D,20090818,000000,150.1300000
GAZP,D,20090819,000000,151.8500000
GAZP,D,20090820,000000,157.8000000
GAZP,D,20090821,000000,167.1000000
GAZP,D,20090824,000000,169.1000000
GAZP,D,20090825,000000,169.2200000
GAZP,D,20090826,000000,167.6000000
GAZP,D,20090827,000000,163.3000000
GAZP,D,20090828,000000,167.3000000
GAZP,D,20090831,000000,163.1000000
GAZP,D,20090901,000000,163.7100000
GAZP,D,20090902,000000,159.3600000
GAZP,D,20090903,000000,158.5000000
GAZP,D,20090904,000000,157.5100000
GAZP,D,20090907,000000,161.8800000
GAZP,D,20090908,000000,166.0000000
GAZP,D,20090909,000000,170.3600000
GAZP,D,20090910,000000,172.8000000
GAZP,D,20090911,000000,173.9500000
GAZP,D,20090914,000000,172.3000000
GAZP,D,20090915,000000,176.6000000
GAZP,D,20090916,000000,181.9900000
GAZP,D,20090917,000000,181.5000000
GAZP,D,20090918,000000,182.4500000
GAZP,D,20090921,000000,175.9700000
GAZP,D,20090922,000000,183.4000000
GAZP,D,20090923,000000,180.1800000
GAZP,D,20090924,000000,177.1000000
GAZP,D,20090925,000000,177.8000000
GAZP,D,20090928,000000,180.5900000
GAZP,D,20090929,000000,179.4900000
GAZP,D,20090930,000000,175.0000000
GAZP,D,20091001,000000,175.9700000
GAZP,D,20091002,000000,171.0100000
GAZP,D,20091005,000000,170.5000000
GAZP,D,20091006,000000,175.1000000
GAZP,D,20091007,000000,174.1500000
GAZP,D,20091008,000000,178.8100000
GAZP,D,20091009,000000,181.6100000
GAZP,D,20091012,000000,192.9400000
GAZP,D,20091013,000000,190.5000000
GAZP,D,20091014,000000,200.4500000
GAZP,D,20091015,000000,196.0100000
GAZP,D,20091016,000000,191.5000000
GAZP,D,20091019,000000,195.8200000
GAZP,D,20091020,000000,196.4900000
GAZP,D,20091021,000000,197.0000000
GAZP,D,20091022,000000,192.2300000
GAZP,D,20091023,000000,193.5000000
GAZP,D,20091026,000000,193.8000000
GAZP,D,20091027,000000,189.7300000
GAZP,D,20091028,000000,178.5900000
GAZP,D,20091029,000000,184.1000000
GAZP,D,20091030,000000,175.9000000
GAZP,D,20091102,000000,180.9900000
GAZP,D,20091103,000000,174.1800000
GAZP,D,20091105,000000,180.0000000
GAZP,D,20091106,000000,174.9500000
GAZP,D,20091109,000000,181.8200000
GAZP,D,20091110,000000,183.3100000
GAZP,D,20091111,000000,181.2000000
GAZP,D,20091112,000000,179.3500000
GAZP,D,20091113,000000,178.9000000
GAZP,D,20091116,000000,186.3900000
GAZP,D,20091117,000000,183.1500000
GAZP,D,20091118,000000,184.6600000
GAZP,D,20091119,000000,180.7000000
GAZP,D,20091120,000000,177.9900000
GAZP,D,20091123,000000,179.2000000
GAZP,D,20091124,000000,175.9100000
GAZP,D,20091125,000000,171.9900000
GAZP,D,20091126,000000,167.1900000
GAZP,D,20091127,000000,169.0000000
GAZP,D,20091130,000000,166.4900000
GAZP,D,20091201,000000,168.5900000
GAZP,D,20091202,000000,167.5000000
GAZP,D,20091203,000000,163.2800000
GAZP,D,20091204,000000,168.5500000
GAZP,D,20091207,000000,166.0000000
GAZP,D,20091208,000000,167.2000000
GAZP,D,20091209,000000,167.0100000
GAZP,D,20091210,000000,166.0900000
GAZP,D,20091211,000000,166.1100000
GAZP,D,20091214,000000,167.0900000
GAZP,D,20091215,000000,172.1900000
GAZP,D,20091216,000000,181.0200000
GAZP,D,20091217,000000,177.0000000
GAZP,D,20091218,000000,181.6000000
GAZP,D,20091221,000000,183.9000000
GAZP,D,20091222,000000,182.5100000
GAZP,D,20091223,000000,184.7700000
GAZP,D,20091224,000000,180.9900000
